timestamp,tweet_text
,"The heavens only grant us one life but through books, we live a thousand
-Godsgrave",
2019-11-09 14:40:20,4 of 5 stars to City of Ghosts by Victoria Schwab https://t.co/xlMV5nJuqD
2019-11-09 03:32:44,"I've been listening to Kpop on and off thru the years and I stan so many groups like Mamamoo, Sistar, Winner and BT… https://t.co/nW0XkT4WP5"
2019-11-04 23:52:29,I started City of Ghosts and honestly it scares me a little cause I'm a baby. 😭😂😭😂😭 . . . #Ipad #reads #booklion… https://t.co/ngPDDe9rrw
2019-11-04 03:40:14,Started my Reread of Godsgrave again..  It feels like coming home.. I don't know what that says about me but Nevern… https://t.co/C4I2Ch2ewR
2019-11-03 10:46:06,I had to stop listening to City of Ghost because it's lowkey (but highkey) freaking me out 😂😂..
2019-11-03 08:48:42,I just started City of Ghost by Victoria Schwab on a whim and I am really liking it.👍🏻
2019-11-03 01:39:05,I was having a bookish life crisis for a few months I felt like I was a Hufflepuff (there is nothing wrong being on… https://t.co/3B4Ec57DuJ
2019-11-03 01:23:29,I got sorted into Ravenclaw in the official @wizardingworld Sorting Ceremony. #HousePride https://t.co/44EIQGdlFG
2019-11-02 10:50:19,For the Intensity of Godsgrave story I find it relaxing to be in Mia's world again. I am continuing my reread to pr… https://t.co/10l1S3h0IO
2019-11-02 08:44:11,4 of 5 stars to Serpent &amp; Dove by Shelby Mahurin https://t.co/zY2Xf7WUgy
2019-10-31 15:35:53,So it's 11:30pm and I still have 2 hrs left of my audiobook Serpent &amp; Dove.. guess I read 0 in October.. 😂😂😂🤘🏻🤘🏻🤘🏻..
2019-10-27 03:36:57,I have been reading Serpent &amp; Dove all October.. I am still in a reading slump but I am enjoying this.. Hope to fin… https://t.co/wKQDXPZ4Fs
2019-10-20 14:22:29,I am listening to Serpent &amp; Dove by Shelby Mahurin on Scribd..   Slowly and surely getting out of my reading slump..  🤘🏻🤘🏻🤘🏻🤘🏻
2019-10-19 03:38:44,I feel bad cause I'm not reading.. But I don't want to force myself 😭😭😭😭
2019-10-15 02:09:51,Sooooo i have been in the KPOP hole for weeks now.. Instead of listening to my Audiobook I am listening to KPop son… https://t.co/O4IlCrSb6z
2019-10-05 12:02:34,September 2019 Wrap Up https://t.co/0Xl8GWtsdH https://t.co/Lkm5C5TRSg
2019-09-29 13:30:18,4 of 5 stars to To Kill a Kingdom by Alexandra Christo https://t.co/3XIxTGE0G1
