timestamp,tweet_text
,"Rikki. She/her. A 21-year-old girl whose life has been overtaken by books, Taylor Swift, a couple of movies and shows, purple, and dogs.",
2019-11-14 14:10:35,I guess life would be so much easier if I were dead. https://t.co/NIiBfXyxju
2019-11-13 15:10:46,"All this talk about accomplishments for the decade weirdly turns my stomach because somehow, my brain has convinced… https://t.co/RNqaqM6Fp1"
2019-11-13 13:39:54,"The Scooby Doo movies were so bad, but they brought so many good memories of my childhood, so I love them with all of my heart."
2019-11-13 06:52:41,It always gives me anxiety when I consider finally reaching out to a therapist. It has been my primary roadblock fo… https://t.co/jPpCxE909h
2019-11-12 03:52:47,RT @haaniyah_: Girls who grew up in their teen years without dating and only got romance via tv/books &amp; films are the baddest bitches
2019-11-11 15:11:25,"@Eden_Eats Not really a rejection, but one time I discovered that one of the people I considered my best friends ha… https://t.co/hE7D97xljF"
2019-11-11 05:05:36,"Shut up, colonizer https://t.co/m2GUjWqTT5"
2019-11-10 15:04:04,"@erinentrada I NEED A FOLLOW-UP OF JUST VIRGIL, VALENCIA, KAORI, AND GEN HANGING OUT. I ESPECIALLY WANT VIRGIL AND… https://t.co/HngtaiOUR1"
2019-11-10 12:32:37,"5 of 5 stars to Hello, Universe by Erin Entrada Kelly https://t.co/44IZljT1jo"
2019-11-10 12:17:16,"I JUST FINISHED HELLO, UNIVERSE BY @erinentrada WHICH IS BASICALLY JUST A NOVEL VERSION OF A MEET-CUTE. AND IT IS I… https://t.co/AAs1rAAt6D"
2019-11-10 08:46:53,It still haunts me to this day that I will never know what happened to Sadie. https://t.co/Gqp8ZA4wDI
2019-11-09 23:16:12,"Stranger Things is not a perfect show, but Steve Harrington is *chef’s kiss*. I’ve been hypertixated by this charac… https://t.co/66RmetKbX4"
2019-11-09 23:12:35,"Never receiving love (admittedly, romantic love) at all. https://t.co/MVIcSxKMCe"
2019-11-09 14:46:56,"On page 206 of 320 of Hello, Universe, by Erin Entrada Kelly: I love how this book has a... https://t.co/narfH4XBDE"
2019-11-08 14:53:30,"I thought I wasn’t a book crier, but now, I’m reading Hello, Universe and reading about Valencia’s denial about her… https://t.co/ovEIchmG9x"
2019-11-08 14:50:18,"On page 146 of 320 of Hello, Universe, by Erin Entrada Kelly: Valencia may be my favorit... https://t.co/PRinyQj3Zs"
2019-11-08 13:35:25,The moment it hits me that I don’t really have that many friends. https://t.co/fjGiLPw8S4
2019-11-07 14:33:27,"On page 105 of 320 of Hello, Universe, by Erin Entrada Kelly: You know, I’m still a litt... https://t.co/b9itxUqcXm"
2019-11-07 08:24:22,"@sniffin_hoardin I admit at the time I liked some of his takes on dreams, but his psychoanalysis really freaks me o… https://t.co/juQ6UiSfnz"
2019-11-07 08:21:18,"@sniffin_hoardin I encountered him for a brief moment in college, and already, I gave up.  Kaori has basically look… https://t.co/jaOjmSdIoJ"
2019-11-06 13:34:31,You’re a 12-year-old child. HOW could you possibly have studied Freud????? 😂 https://t.co/tUmiYBEC5A
2019-11-05 15:19:02,"I can’t believe I stayed in a video meeting when apparently, I could’ve left an hour ago. What a clown. https://t.co/PotmKIK7HG"
2019-11-05 12:41:25,"On page 61 of 320 of Hello, Universe, by Erin Entrada Kelly: Okay, these characters are ... https://t.co/J0pZsdoCrg"
2019-11-04 11:44:06,"10% done with Reading Like a Writer, by Francine Prose: This book takes me back to when ... https://t.co/vpAzvkVmzk"
2019-11-03 13:27:40,"On page 31 of 320 of Hello, Universe, by Erin Entrada Kelly: One of the praises I heard ... https://t.co/CfqiZcjCEu"
2019-11-02 13:28:18,"On page 17 of 320 of Hello, Universe, by Erin Entrada Kelly: I’m obviously not that far ... https://t.co/MpfhcPIxHF"
2019-10-29 15:29:40,5 of 5 stars to The Elements of Style by William Strunk Jr. https://t.co/BtvaLS34Jg
2019-10-26 08:26:03,2 of 5 stars to Cross My Heart and Hope to Spy by Ally Carter https://t.co/x2XjCz8uBu
2019-10-23 02:01:14,"@jamishelves My professor has always told us that if it’s a short form of medium (aka short stories, episode titles… https://t.co/jNt504QOOD"
2019-10-23 01:56:45,Josh and Hazel’s Guide to Not Dating https://t.co/xqy2fKcIsa
2019-10-23 00:54:48,MY COPY FOR THE BARNES AND NOBLE EXCLUSIVE EDITION OF AN EMBER IN THE ASHES BY @sabaatahir HAS FINALLY ARRIVED!!!!… https://t.co/GfVyYA4NVl
2019-10-21 12:58:13,This is actually a good place for apsiring writers to start honing their craft. There’s less pressure on making you… https://t.co/Gizfl9QDl7
2019-10-19 14:18:34,"On page 99 of 256 of Cross My Heart and Hope, by Ally Carter: I loved Josh, but man, Zac... https://t.co/Vn00Zsts2I"
2019-10-19 05:53:45,"On page 70 of 256 of Cross My Heart and Hope, by Ally Carter: Back at it with the Gallag... https://t.co/DfzC7F8eLi"
2019-10-19 05:40:05,Filing out tax forms will never fail at setting off my anxiety.
2019-10-15 09:36:38,"@hannahmosk “All the king's horses, all the king's men couldn't put me together again.”  (Tbh, that whole bridge of… https://t.co/L0Up1qpbAi"
2019-10-12 13:53:42,4 of 5 stars to Writing Magic by Gail Carson Levine https://t.co/VjgomPTHUE
2019-10-10 15:55:58,3 of 5 stars to The Wide Window by Lemony Snicket https://t.co/0JUv2Pk4GD
2019-10-10 06:37:26,"RT @dannypetersmith: AT THIS PERFORMANCE, the role of Toto will be played by: https://t.co/3aFbTYQyz4"
2019-10-09 16:04:31,"On page 145 of 214 of The Wide Window, by Lemony Snicket: I actually love how the book m... https://t.co/buNzwmqDHs"
2019-10-09 13:10:19,My YA prof really championed that the young adult category can be as young as 12 and as old as 25. That’s why for h… https://t.co/0ppm0oAeDU
2019-10-09 09:57:34,"Lover Edition  Fave: Cornelia Street, Lover, Cruel Summer (I can’t decide) Least fave: Me Most underrated: It’s Nic… https://t.co/PiLu1wq5Wt"
