timestamp,tweet_text
,🐧👽,
2019-11-13 23:25:54,I'm #reading Casa Organizada by Thais Godinho https://t.co/MrLT4U1497
2019-11-13 22:20:39,"Não fiquei muito animado quando anunciaram, mas no fim das contas gostei bastante do Terry #SmashBros… https://t.co/cy1T6CodzI"
2019-11-12 00:55:22,Ufa! Vamos Fogão! https://t.co/zgO28tED8g
2019-11-09 16:36:54,É sempre bom lembrar. Do livro:  O Tupi que Você Fala - Cláudio Fragata https://t.co/F0E6Awl6ox
2019-11-09 15:15:39,4 of 5 stars to Leo e a baleia by Benji Davies https://t.co/PesV0VU8Nu
2019-11-08 01:15:47,Eita Botafogo. Ninguém tava com saudade do Z4 não 😓
2019-10-31 13:06:44,Obrigado mais uma vez! https://t.co/apzXImWlG8
2019-10-30 18:13:53,No último fim de semana assisti mais 2 episódios e apesar de algumas relações (e reações) estranhas entre as person… https://t.co/yPwjPoGPsm
2019-10-25 00:02:33,Chegaram os adesivos do @evernote_br que ganhei na promoção do canal do @vladcampos Agora tenho que vencer meu hist… https://t.co/gKgz8AuIAC
2019-10-22 13:31:15,"Respondido e já aproveitando para recomendar o Jogabilidade por aqui... já que marquei 10 em ""chance de recomendar… https://t.co/qsmfXSKxfg"
2019-10-20 20:12:06,Tem toda uma crítica social e grupos revolucionários contra a criação de robôs que de certa forma substituam os ser… https://t.co/xWi7eQdu3f
2019-10-20 20:12:05,Assisti aos primeiros 2 episódios e deu para perceber que a série é Russa e se passa em um futuro próximo onde temo… https://t.co/p3wHs8UPwq
2019-10-20 16:14:10,Começa citando as 3 leis da robótica do Asimov
2019-10-20 16:12:41,Comecei a assistir BETTER THAN US #series #Netflix
2019-10-07 00:07:08,@GlauberSilva Desde que anunciaram estou apreensivo com o que vão arrumar. Tem jogador lá que como técnico atrapalh… https://t.co/KvzkFYAqg7
2019-10-04 16:07:15,"@GlauberSilva Drake não deu pra assistir, mas o show da Ivete foi bem bom, de casa, por streaming, deitado."
2019-10-03 21:13:46,Trabalho perto do aeroporto no RJ e hoje já deu para notar um aumento da chegada de pessoas vestidas de preto na ci… https://t.co/uYibKN3sEK
2019-10-01 23:47:11,Que vídeo maravilhoso do @jogabilidade https://t.co/4YcgFtgxbg
2019-10-01 23:24:47,"Coloco o pano para evitar poeira, mas sempre tiro na hora de jogar. Dessa vez esqueci e o Switch esquentou tanto qu… https://t.co/m7Q3pyBqTV"
2019-10-01 23:24:47,Quase matei meu Nintendo Switch agora. Joguei mais de uma hora com ele na dock e com um pano em cima. https://t.co/MSdxUn4urZ
2019-10-01 12:56:28,A Amazon Prime Video começou a colocar propagandas aleatoriamente antes de começar um vídeo e eu passo uns 5 minuto… https://t.co/TiV7tmpZR9
2019-09-30 15:49:56,Quero! #myiconbyjardim https://t.co/TpckqxYsWq
2019-09-29 15:51:42,Boa tarde #SuperMarioOdyssey #NintendoSwitch https://t.co/hKLm541Ocu
