timestamp,tweet_text
,First name is pronounced Shawnee?https://t.co/fvnEDh4oDu,
2019-11-12 04:19:55,Marked as to-read: The Institute by Stephen King https://t.co/nQzHb7Zdau
2019-11-12 00:12:00,@NerdECrafter I personally never liked the recommend thing because it never recommended anything decent. Just junk.… https://t.co/eEEy1l2M9Z
2019-11-12 00:09:49,@NerdECrafter Its not just that they are screwing with. They have really screwed up the pages for subs and recommen… https://t.co/ZFKqZ4MVpU
2019-11-12 00:05:57,@YouTube Your new YouTube page erased a video my family member and I were going to watch tonight.  It was left it i… https://t.co/nayiLRGx6S
2019-11-09 18:39:31,5 of 5 stars to The Ocean at the End of the Lane by Neil Gaiman https://t.co/Nrw7Z8BAKM
2019-11-06 01:06:05,@NerdECrafter  Oh and 11:47 mins in the video. Kinda how I've been doing lately. https://t.co/te3znO8Gqa
2019-11-06 01:03:57,@NerdECrafter Watching tonight's nerdy episode. You two are hilarious. LOL and I love the new background. :)    Hop… https://t.co/4wmjPD0u4B
2019-11-05 17:55:44,@PatchworkNerd Happy Birthday Sweetpea. Hope you and lil pea are doing well. https://t.co/UgwqsxMGQe
2019-10-29 16:07:02,@NerdECrafter Keeping 'em coming.  So glad he's made it through first hurdle.
2019-10-29 02:08:41,@NerdECrafter Sending you all sooo much good vibes and love for success. https://t.co/REbvTKGx5V
2019-10-26 16:05:02,@NaNoWriMo @NaNoWriMo mo Okay this is only happening in Firefox.  And it seems to be okay in Opera Browser even with old password.
2019-10-26 16:00:47,@NaNoWriMo @NaNoWriMo  In the orange this is what I get every time. https://t.co/tVlPZDWzWt
2019-10-23 01:26:59,"@therisersaga Hey Becca, is it possible to adapt a short story into a screenplay? I've been binge watching your scr… https://t.co/3mUDhsekSh"
2019-10-11 19:27:14,"RT @_KimChance: Hi guys! I am so sorry, I got my dates all mixed up BUT there will be a #Chance2Connect chat THIS TUESDAY, Oct 15th! If you…"
