timestamp,tweet_text
,📖 stuff // I make YouTube videos about books // 20 // bookstagram: savedbythebook333,
2019-11-12 21:43:12,5 of 5 stars to Harry Potter and the Deathly Hallows by J.K. Rowling https://t.co/JudbaVw5cN
2019-11-11 22:22:05,RT @jessicacwrites: the semester is almost over but i feel like i’m drowning and i have so much on my plate right now 😭
2019-11-11 22:21:27,"RT @gayrauder: me, after creating a bunch of accounts on pottermore because i didn’t like my patronus https://t.co/M811p76CjC"
2019-11-11 21:30:33,"3 of 5 stars to your name., Vol. 1 by Makoto Shinkai https://t.co/2B7rnOc5Wj"
2019-11-11 19:45:10,4 of 5 stars to The Simple Wild by K.A. Tucker https://t.co/Pwj6VEYJ1f
2019-11-11 19:28:10,@serenreads this is so helpful thankkssss
2019-11-11 16:24:56,RT @kylelop3z: my only fitness goal is to have the core strength required to do molly’s clock routine from the big comfy couch https://t.co…
2019-11-11 16:11:23,"On page 571 of 759 of Harry Potter and the Deathly Hallows, by J.K. Rowling https://t.co/2CIKyLn7fj"
2019-11-11 03:55:02,"83% done with The Simple Wild, by K.A. Tucker https://t.co/79dCPM7CC8"
2019-11-10 20:31:38,3 people followed me and 2 people unfollowed me // automatically checked by https://t.co/hpVx4Dwsim
2019-11-10 01:24:39,@_bookphoria i love it!
2019-11-09 18:43:00,"77% done with The Simple Wild, by K.A. Tucker https://t.co/bMrngOoMBQ"
2019-11-08 16:12:51,"68% done with The Simple Wild, by K.A. Tucker https://t.co/cvxlSvbgWI"
2019-11-07 21:16:53,2 people followed me and one person unfollowed me // automatically checked by https://t.co/hpVx4Dwsim
2019-11-07 19:07:43,"On page 544 of 759 of Harry Potter and the Deathly Hallows, by J.K. Rowling https://t.co/85S7ntSHvr"
2019-11-07 16:24:17,"On page 502 of 759 of Harry Potter and the Deathly Hallows, by J.K. Rowling https://t.co/gR4wgCES9h"
2019-11-07 13:16:17,"54% done with The Simple Wild, by K.A. Tucker https://t.co/HGkNNCH23S"
2019-11-06 20:31:43,"On page 446 of 759 of Harry Potter and the Deathly Hallows, by J.K. Rowling https://t.co/7MpDyPoSOC"
2019-11-06 18:07:05,"47% done with The Simple Wild, by K.A. Tucker https://t.co/L1xFx4ImZ4"
