timestamp,tweet_text
,"I read, I watch, I work.",
2019-11-13 02:38:17,"On page 261 of 306 of Trick Play, by Eden Finley https://t.co/8HhaxJgAIl"
2019-11-12 03:22:15,"On page 123 of 306 of Trick Play, by Eden Finley https://t.co/qe6g8GLZzV"
2019-11-11 21:47:12,Mood https://t.co/vHy1pPUdov
2019-11-11 03:06:27,"On page 9 of 306 of Trick Play, by Eden Finley https://t.co/GpxCKa3bY3"
2019-11-11 02:10:03,🤟🏻 https://t.co/RZeTHtKQVg
2019-11-11 02:07:47,This. Book. Whew. https://t.co/yTWoBWe37u
2019-11-11 01:59:13,5 of 5 stars to Fake Out by Eden Finley https://t.co/ukVTHy1osj
2019-11-11 00:43:25,8-2 #GoPackGo
2019-11-11 00:43:10,RT @NFLonFOX: Aaron Rodgers and the @Packers snagging that W like https://t.co/2cWw1k1dOj
2019-11-11 00:42:50,WOOOOHOO
2019-11-11 00:40:48,TOMEN HIJOS DE PUTA
2019-11-11 00:39:43,QUE HIJOS DE PUTA
2019-11-10 23:10:21,"RT @alferdez: En Bolivia se ha consumado un golpe de Estado producto del accionar conjunto de civiles violentos, el personal policial autoa…"
2019-11-10 20:13:07,"I loved @daybreak, it was so good. I need a second season."
2019-11-10 05:23:12,"On page 123 of 282 of Fake Out, by Eden Finley https://t.co/Szkli4G2Kk"
2019-11-10 00:13:35,And counting https://t.co/ub0w1SOyQo https://t.co/n0UGPJ5dLR
2019-11-09 17:43:35,5 of 5 stars to Reunion by Neve Wilder https://t.co/pjUFKVaCEf
2019-11-09 15:25:01,3 of 5 stars to Something About Jace by Jocelynn Drake https://t.co/7lGMcjlWCa
2019-11-08 20:46:35,RT @InfobaeAmerica: 🔴 𝗔𝗛𝗢𝗥𝗔 | Lula quedó en libertad https://t.co/wGN0H7JmU9 https://t.co/Artti3bOde
2019-11-08 18:07:02,Somewhere Constance Wu is jumping with joy https://t.co/x2630zeLKa
2019-11-07 23:39:19,It's a wrap mi primer día de home office. Me cansé más que yendo a la oficina.
2019-11-07 23:00:46,MUERO https://t.co/2eQzqcX5t4
2019-11-07 17:39:38,RT @thursaconcept: https://t.co/LM5KfZlrvP
2019-11-07 14:04:29,Me podría acostumbrar a esto del home office
2019-11-07 03:13:08,"32% done with Something About Jace, by Jocelynn Drake https://t.co/qD3ZdI0hZG"
2019-11-06 02:52:28,RT @washingtonpost: Just in: Democrats flip Virginia Senate https://t.co/vLhE6tW6m2
2019-11-06 02:04:40,4 of 5 stars to The Prep and the Punk by Imogene Kash https://t.co/NkqGCl99BP
2019-11-05 18:42:31,"RT @nytimes: Breaking News: The U.S. ambassador Gordon Sondland, a key witness in the impeachment inquiry, acknowledged delivering a quid p…"
2019-11-05 03:20:47,"75% done with The Prep and the Punk, by Imogene Kash https://t.co/1aOwcnnsQo"
2019-11-03 18:32:06,RT @idgajon: this is how some of y’all talk https://t.co/laP84JQg36
