timestamp,tweet_text
,I love books and coffee. And I may have a little obsession with cats.,
2019-11-12 23:44:15,"On page 246 of 448 of The Beautiful, by Renée Ahdieh https://t.co/WR0nQfjS7v"
2019-11-11 23:24:58,"On page 220 of 349 of End of Eden, by S.L. Jennings https://t.co/LD2YK69guN"
2019-11-09 17:59:34,I read Lucky Caller by Emma Mills https://t.co/s1a4mfvayS
2019-11-08 18:58:04,Marked as tbr-unreleased: Hunted by the Sky by Tanaz Bhathena https://t.co/CFUNLUHAiP
2019-11-07 00:01:55,"On page 168 of 336 of Lucky Caller, by Emma Mills https://t.co/EEPQgi2mhP"
2019-11-06 10:06:13,Marked as tbr-unreleased: The Raven and the Dove by Kaitlyn Davis https://t.co/1au4YemCTs
2019-11-05 15:50:04,Marked as tbr-unreleased: Unravel the Dusk by Elizabeth Lim https://t.co/MTxsYhJPOr
2019-11-02 22:41:43,5 of 5 stars to Sorcery of Thorns by Margaret Rogerson https://t.co/5NS3Y0KHEh
2019-11-02 19:25:33,Here’s my #BookReview of Sorcery of Thorns by Margaret Rogerson. #bookblog #bookblogger #amreading #yalit… https://t.co/MApiUHMJIO
2019-11-02 11:22:53,"Starting Wicked, by Jennifer L. Armentrout: Re-read time because I’m the worst at rememb... https://t.co/Tf05YLtPKa"
2019-10-31 23:16:51,"On page 230 of 420 of Nightshade (Redemption), by Molly McAdams https://t.co/WyoNJRJ2B4"
2019-10-31 19:28:32,5 of 5 stars to The Last Magician by Lisa Maxwell https://t.co/SeDvcA71ct
2019-10-31 19:20:31,Here’s my #BookReview of The Last Magician by Lisa Maxwell. #bookblog #bookblogger #amreading #yalit… https://t.co/3flrnkePq3
2019-10-31 08:44:55,4 of 5 stars to Blood Heir by Amélie Wen Zhao https://t.co/ZR2nDRUvGs
2019-10-30 20:47:26,Marked as tbr-unreleased: The Guinevere Deception by Kiersten White https://t.co/ih2VeysoZV
2019-10-30 19:32:47,Here’s my #BookReview of Blood Heir by Amelie Wen Zhao. #bookblog #bookblogger #amreading #yalit #arc #arcreview… https://t.co/pHcqVbVAcq
2019-10-30 17:50:51,Marked as tbr-unreleased: Where Dreams Descend by Janella Angeles https://t.co/B7rcbsIqFn
2019-10-29 19:23:58,Here's this week's #T5T topic: Favorite Books With Creepy Atmospheres! #bookblog #bookblogger #amreading #yalit… https://t.co/EYm6pHLk2x
2019-10-28 22:51:48,"On page 150 of 328 of Dirty Headlines, by L.J. Shen https://t.co/ZCCWDPNhCn"
2019-10-27 20:12:23,4 of 5 stars to Fireborne by Rosaria Munda https://t.co/WaQRA8Z8No
2019-10-27 19:21:11,Here's my #BookReview of Crown of Oblivion by Julie Eshbaugh. #bookblog #bookblogger #amreading #yalit #arc… https://t.co/E3XlwqRw6t
2019-10-26 18:25:24,Here's my #BookReview of Fireborne by Rosaria Munda. #bookblog #bookblogger #amreading #yalit #arc #arcreview… https://t.co/4SzLy6AYxo
2019-10-24 22:02:51,"On page 249 of 354 of The Bridge Kingdom, by Danielle L. Jensen https://t.co/dRlrqT8TVi"
2019-10-24 18:46:21,5 of 5 stars to A Heart So Fierce and Broken by Brigid Kemmerer https://t.co/PxTe897zxc
2019-10-24 18:29:35,Here's my #BookReview of A Heart so Fierce and Broken by Brigid Kemmerer. #bookblog #bookblogger #amreading #yalit… https://t.co/629kyalPn4
2019-10-22 22:14:59,"On page 212 of 458 of Ninth House, by Leigh Bardugo: Things are starting to become more ... https://t.co/eLR2BxzYZh"
2019-10-22 18:26:39,Here's this week's #T5T topic: Audiobooks I’d Give a Try. #bookblog #bookblogger #amreading #yalit… https://t.co/y4YEx02l3r
2019-10-22 12:31:21,Marked as tbr-unreleased: Ever Cursed by Corey Ann Haydu https://t.co/lYXBG3kXnA
2019-10-21 19:54:31,"On page 162 of 316 of Anna Dressed in Blood, by Kendare Blake https://t.co/g8vGotQo6J"
2019-10-21 18:26:11,Summer Book Haul! #bookblog #bookblogger #amreading #yalit #bookhaul #haul https://t.co/v8idNahQir https://t.co/UkqOFuLqrR
2019-10-21 10:01:13,I read Crown of Oblivion by Julie Eshbaugh https://t.co/BTdtydOsBi
2019-10-21 09:30:30,3 of 5 stars to Song of the Crimson Flower by Julie C. Dao https://t.co/ZPkYzmdmXd
2019-10-21 07:47:15,"On page 360 of 480 of Crown of Oblivion, by Julie Eshbaugh https://t.co/7CNwy9lU4C"
2019-10-20 18:24:33,Here's my #BookReview of Song of the Crimson Flower by Julie C. Dao. #bookblog #bookblogger #amreading #yalit #arc… https://t.co/eFSVDdix6V
2019-10-18 21:47:13,"On page 103 of 354 of The Bridge Kingdom, by Danielle L. Jensen https://t.co/UqEtXkB2ro"
2019-10-18 18:21:57,Books to Take To a Haunted House | Spooky Book Recommendations #bookblog #bookblogger #amreading #yalit… https://t.co/aXI0NlDCq6
