timestamp,tweet_text
,— 𝘭𝘦𝘵𝘴 𝘨𝘰 𝘳𝘢𝘵𝘵𝘭𝘦 𝘵𝘩𝘦 𝘴𝘵𝘢𝘳𝘴.,
2019-11-14 16:53:28,RT @thewickedkings: I'm used to being the center of attention wherever I go. I've been told I could charm the shoes off a racehorse midstri…
2019-11-14 13:51:28,"RT @alescslater: “Of course you can have a true Shadowhunter name,"" Will said. ""You can have mine."""
2019-11-14 12:34:56,"RT @queenduartes: “I hate you,” I say, the words coming out like a caress. I say it again, over and over. A litany. An enchantment. A ward…"
2019-11-14 11:36:10,one of my irl friend from uni likes the same books that i do and we fangirled about tsc today 😭
2019-11-14 09:26:47,RT @wckedjude: idk who needs this reminder but just remember that u don’t have to read EVERYDAY like if u don’t feel like reading some days…
2019-11-14 09:20:52,"RT @nestarcherons: my favourite song :,) https://t.co/VsRo7cbjBk"
2019-11-13 23:35:27,@_galathynius @bridgxrton i needed to show off some zoyalai ahsjdjd
2019-11-13 23:32:23,RT @nestarcherons: a summary of me reading kingdom of ash https://t.co/9QBR5zt2Q0
2019-11-13 23:18:58,header by @bridgxrton ❤️
2019-11-13 19:40:23,I’m ready to do something I’ll definitely regret and this time I don’t care. I’m done being nice. I’m done being ne… https://t.co/xHRWXbEqjB
2019-11-13 19:04:04,@starlit_eclipse the only reason i’m reading this series is for warnette ahsjdjd
2019-11-13 19:02:33,please help i’m indecisive which should i read next
2019-11-13 18:10:37,RT @nestarcherons: what was the point of building up the archeron sisters’ relationship again in acowar only to take two steps back in acof…
2019-11-13 17:27:03,"RT @genyalinas: ""I promise, Matthias. I'll take you home."" ""Nina,"" he said, pressing her hand to his heart. ""I am already home.""  — Leigh B…"
2019-11-13 17:07:47,"RT @nikslantsov: “She turned her back to him and, to his astonishment, shrugged the silk of her kefta from her shoulders, letting it pool a…"
2019-11-13 16:56:42,"43% done with Unravel Me, by Tahereh Mafi https://t.co/Jlh3FA7Hoh"
2019-11-13 13:58:02,"RT @halecobalt: his warm lips moved to graze her cheek, her jawbone. ""i didn't know if you'd want me to touch you,"" he murmured against her…"
2019-11-13 13:36:17,@awarnettestan i will ahsjd i need more warnette
2019-11-13 10:38:11,"RT @PhantomRin9: Galaxy (Alex) Stern - ""Ninth House"" by @LBardugo .  #NinthHouse #GalaxyStern #AlexStern #QueenMab #WheelOfFortune #lady #g…"
2019-11-13 09:32:52,RT @iudeduarte: I MARRIED A FURRY *not clickbait* (gone sexual) (gone wrong) https://t.co/1CcJGQujoZ
2019-11-13 09:21:44,i can’t decide whether i love or hate shatter me ahsjdjd the writing style is really getting on my nerves but i’m living for warnette
2019-11-13 09:21:08,RT @iudeduarte: I SHOT MY BOYFRIEND DURING OUR FIRST KISS (NOT CLICKBAIT) https://t.co/iZrl8D8kRN
2019-11-13 08:54:44,"RT @blackthornnes: Update: I confessed to the girl and my best friend, who is dying, heard it (STORYTIME PART 2) https://t.co/Nh9Zs6RDaf"
