timestamp,tweet_text
,📚тнe world waѕ нerѕ ғor тнe readιng | 🖤 Personal: @_shelleyb_ | 🦡 House Of Hufflepuff | CR: Anything by #AmandaQuick | 🎧 CL: @potterlesspodcast,
2019-11-13 12:45:19,Review | An Offer From A Gentleman by Julia Quinn https://t.co/LBY42Q094o https://t.co/68xChvlnuB
2019-11-12 11:08:39,Author Interview | L.C. Ireland https://t.co/Hzvxz4Bynu https://t.co/QniQgvRmkn
2019-11-11 13:49:46,Review | The Viscount Who Loved Me by Julia Quinn https://t.co/1XBJRSnAlr https://t.co/qO8fqIbjUI
2019-11-10 20:01:42,3 of 5 stars to The Christmas Sisters by Sarah Morgan https://t.co/X1NJxOI2TS
2019-11-10 19:37:04,DNF 5 Reasons Why | The Little Bookshop at Herring Cove By Kellie Hailes https://t.co/xsltlAWrGk
2019-11-10 19:11:38,3 of 5 stars to The Little Bookshop at Herring Cove by Kellie Hailes https://t.co/pviEybpRfi
2019-11-10 17:23:56,4 of 5 stars to Romancing Mister Bridgerton by Julia Quinn https://t.co/3F1nvTcVuT
2019-11-10 14:00:11,Review | The Duke &amp; I by Julia Quinn https://t.co/9pnNmL0NYu https://t.co/nuZKwhcvnk
2019-11-10 13:36:28,Here’s my take on @FandFclothing and how I really need to earn more money so I can keep buying their clothes 🙌🏻 https://t.co/D7HoOwVUZg
2019-11-10 13:33:00,@Limabean74 Adulting should outlawed 🤣 https://t.co/nq3opnkcGc
2019-11-09 20:01:07,Review | Beard Necessities by Penny Reid https://t.co/iXkvEKcegd https://t.co/77oumY1vUe
2019-11-09 19:54:07,#BookReview Read my 4-star review of Beard Necessities by Penny Reid ⁦@ReidRomance⁩ 💖  https://t.co/5QoTQpQEOq
2019-11-09 17:01:45,4 of 5 stars to The Viscount Who Loved Me by Julia Quinn https://t.co/o9WE2zELkm
2019-11-09 16:23:20,#BookReview The Duke and I by Julia Quinn https://t.co/pe3hz6g15i
2019-11-09 16:16:39,4 of 5 stars to Beard Necessities by Penny Reid https://t.co/JARbqRcAjL
2019-11-09 13:22:10,Just in case you didn’t get the memo 😉 the #BookBlog is back 🙌🏻🙌🏻🙌🏻 https://t.co/AqtWoztb5a
2019-11-08 22:29:58,Blog Makeover | I’m back babe https://t.co/XoMAjz5oZv
2019-11-06 23:11:18,@RetreatandRead I’m in the West Midlands ~ what about you? 😊
2019-11-04 18:54:20,Check out Podcast: Storitastic by Shelley B on @Kickstarter https://t.co/UEiSFiTy5o
2019-11-03 21:35:39,I have read 90 of 100 books. https://t.co/IyP8HIryLJ
2019-11-03 19:29:03,"RT @kimbacaffeinate: Psst. Yes, you... come sign-up for the Ho-Ho-Ho #Readathon November 8-17th Winter &amp; Holiday books and listens, fun cha…"
2019-11-03 15:03:42,So across the most interesting thing (well to me) a Reading Retreat!! I didn’t know it was a thing. And now I’m des… https://t.co/Ueljv93gm3
2019-10-31 15:38:33,I have read 88 of 100 books. https://t.co/IyP8HIryLJ
2019-10-31 15:38:14,3 of 5 stars to Second Sight by Amanda Quick https://t.co/VW82ryPSlz
2019-10-30 18:50:42,"@penguinusa Mountain .... with a log fire, hot chocolate and pjs 🙌🏻🙌🏻"
2019-10-30 15:13:34,@rachelcaine https://t.co/mVda5LwTW7
2019-10-30 13:37:55,4 of 5 stars to Protect the Prince by Jennifer Estep https://t.co/49PoyVYCcS
2019-10-29 08:45:19,4 of 5 stars to Kill the Queen by Jennifer Estep https://t.co/Xu9zvuXUxX
2019-10-26 21:41:10,3 of 5 stars to Mistress by Amanda Quick https://t.co/sfs37Ec9kX
2019-10-26 13:21:23,I have read 83 of 100 books. https://t.co/IyP8HIryLJ
2019-10-26 13:09:24,Read my 3-star review of Deception by Amanda Quick #currentlyreading #amandaquick #historicalromance  https://t.co/hXDMWXP29p
2019-10-05 10:42:40,3 of 5 stars to Archangel's War by Nalini Singh https://t.co/t14uc93jkn
2019-10-03 13:13:25,4 of 5 stars to Archangel's Prophecy by Nalini Singh https://t.co/3eN8FVhwuU
2019-10-03 11:45:14,"75% done with Archangel's Prophecy, by Nalini Singh: I’m blubbering like a baby! I think... https://t.co/ar4Jt7AJwq"
2019-10-02 20:24:49,4 of 5 stars to Venom in the Veins by Jennifer Estep https://t.co/QE0aCKXauJ
2019-10-02 15:42:29,4 of 5 stars to Snared by Jennifer Estep https://t.co/tpKRdJLCU2
2019-10-01 20:11:33,3 of 5 stars to Heart of Venom by Jennifer Estep https://t.co/DBQ7UgsCZg
2019-09-30 23:19:22,3 of 5 stars to Bitter Bite by Jennifer Estep https://t.co/p80Ro3NREk
2019-09-29 22:25:12,3 of 5 stars to Spider's Trap by Jennifer Estep https://t.co/QqkDYivZFs
2019-09-28 13:56:40,3 of 5 stars to Nobody But You by Jill Shalvis https://t.co/joHncJ9aK0
2019-09-28 09:56:49,4 of 5 stars to What Happens in London by Julia Quinn https://t.co/2VBvR0zc8P
2019-09-27 17:05:12,4 of 5 stars to Wildfire by Ilona Andrews https://t.co/fAx5f3gPUO
2019-09-24 23:46:52,4 of 5 stars to White Hot by Ilona Andrews https://t.co/JZ587IRPO2
2019-09-22 17:23:24,3 of 5 stars to Beard with Me by Penny Reid https://t.co/odpTSHeV9U
2019-09-14 17:22:07,"3 of 5 stars to Blood, Book and Candle by Robyn Bachar https://t.co/c0Pu61Ime5"
2019-09-07 14:57:38,4 of 5 stars to Vendetta in Death by J.D. Robb https://t.co/NzLLrzVamp
2019-09-01 21:27:28,3 of 5 stars to All About Love by Stephanie Laurens https://t.co/8QKvefHqi4
2019-08-31 21:58:43,3 of 5 stars to I See You by Mary Burton https://t.co/V0d3PEmlZ6
2019-08-29 21:35:18,4 of 5 stars to Pressed to Death by Kirsten Weiss https://t.co/dhBXPgW9xF
2019-08-28 14:55:44,2 of 5 stars to He Said/She Said by Erin Kelly https://t.co/Fptrklwxbx
2019-08-28 11:41:50,3 of 5 stars to The Bachelor by Sabrina Jeffries https://t.co/oWjVpZ9Ihs
