timestamp,tweet_text
,Snarky redhead who loves to read,
2019-11-12 00:27:09,"67% done with A New York Love Story, by Cassie Rocca https://t.co/xqyboRKXTC"
2019-11-09 17:27:30,"51% done with A New York Love Story, by Cassie Rocca https://t.co/YBHWgnCxFA"
2019-11-09 12:34:45,5 of 5 stars to A Thin Dark Line by Tami Hoag https://t.co/3hae8VvvLN
2019-11-09 00:25:16,5 of 5 stars to A Knight in Shining Armor by Jude Deveraux https://t.co/Ll604MvqZP
2019-11-08 22:33:12,"27% done with Twelve Slays of Christmas, by Jacqueline Frost https://t.co/MatAyi4eVL"
2019-11-08 02:06:59,5 of 5 stars to Dark in Death by J.D. Robb https://t.co/VUrxYGV4YJ
2019-11-06 02:46:02,"26% done with A New York Love Story, by Cassie Rocca https://t.co/RhDkvGeVDn"
2019-11-04 22:13:48,"67% done with Dark in Death, by J.D. Robb https://t.co/07O0Hu9brS"
2019-11-03 04:02:50,"15% done with A New York Love Story, by Cassie Rocca https://t.co/zXGVR9oMMi"
2019-11-03 02:26:26,4 of 5 stars to Christmas Kisses by Alison May https://t.co/mJ8YH3e7qZ
2019-11-01 17:27:32,"55% done with Dark in Death, by J.D. Robb https://t.co/zoj4cIlCFI"
2019-10-31 11:54:56,5 of 5 stars to The Boy Next Door by Meg Cabot https://t.co/Am0UAA6Krs
2019-10-31 01:02:53,"41% done with Dark in Death, by J.D. Robb https://t.co/uV2lIGMwxO"
2019-10-30 11:57:28,"96% done with Christmas Kisses, by Alison May https://t.co/4EV23aix6J"
2019-10-30 00:56:37,"32% done with Dark in Death, by J.D. Robb https://t.co/Qi0pqS8QBF"
2019-10-29 12:01:47,2 of 5 stars to The Spiritual Formation of Leaders by Chuck Miller https://t.co/Zq0XKJGLaT
2019-10-28 23:05:38,"75% done with Christmas Kisses, by Alison May https://t.co/i5JVCWOQKa"
2019-10-27 03:45:03,"52% done with Christmas Kisses, by Alison May https://t.co/EIMUR7Y3sR"
2019-10-25 14:38:42,1 of 5 stars to Murder by the Book by Lauren Elliott https://t.co/ToDN4S8XHv
2019-10-25 14:07:20,2 of 5 stars to Hardcore Twenty-Four by Janet Evanovich https://t.co/nbG1IYhgQ8
2019-10-25 00:46:25,4 of 5 stars to Suddenly Sorceress by Erica Lucke Dean https://t.co/Q49G2XPmT8
2019-10-25 00:14:08,"41% done with Christmas Kisses, by Alison May https://t.co/TkTBgT5Oau"
2019-10-24 03:06:56,"38% done with Hardcore Twenty-Four, by Janet Evanovich https://t.co/SkoxF5Z42Y"
2019-10-23 12:03:33,"27% done with Hardcore Twenty-Four, by Janet Evanovich https://t.co/Ba0O92hGTu"
2019-10-21 19:53:35,"30% done with Christmas Kisses, by Alison May https://t.co/fLm86kYXpS"
2019-10-21 16:24:47,4 of 5 stars to Then She Was Gone by Lisa Jewell https://t.co/9bJwktNrkU
2019-10-21 05:55:01,"21% done with Christmas Kisses, by Alison May https://t.co/mhDLacVfwF"
2019-10-20 21:12:35,3 of 5 stars to Fairytale Beginnings by Holly Martin https://t.co/aiUmRIRgZh
