timestamp,tweet_text,all_hashtags
,"- a mix between your grandma and a millennial 
- a slightly nicer book loving Paris Geller 
- Philippians 4:13📚",
2019-11-06 16:32:14,@Sarah3ddepp https://t.co/FfLBlntgY6,[]
2019-11-06 16:31:39,@Sarah3ddepp Ahhh thank you thank youuuu,[]
2019-11-06 15:39:39,NEW VIDEO!! I Read The First Five Books I Saw On Twitter https://t.co/XyzhlUbEEu via @YouTube https://t.co/GAVfbpTIKB,[]
2019-11-05 23:49:27,@fairytaleprotag Emotionally speaking I’m never ready for a Maggie book ...,[]
2019-11-05 23:49:04,@kierscrivener 💜💜💜,[]
2019-11-05 23:48:48,@rhiannonthropp https://t.co/JfatSVSBuZ,[]
2019-11-05 22:02:14,“This is going to be about the Lynch brothers.”   Y’all I don’t know if I’m ready for this🌲🙈 https://t.co/8zQ1CK8xys,[]
2019-11-05 17:36:26,@chanelletime M O O D,[]
2019-11-05 04:06:29,@rhiannonthropp https://t.co/kV544Wn1sZ,[]
2019-11-05 03:59:59,@vellich0rs https://t.co/jM6px4Q1wz,[]
2019-11-04 22:29:31,@ChristineReads7 @AG_Macdonald @kierscrivener @_saralaflamme @TheWordN3rd https://t.co/2jICX5YvJy,[]
2019-11-04 22:29:00,@littlereadersco It SO GOOD!!,[]
2019-11-04 19:31:36,@megwithbooks YOU GO GLENN COCO https://t.co/6sfI764sqG,[]
2019-11-04 18:51:08,"Me: hey google find me the softes graphic novel ... you right, you right! https://t.co/MWk7UUXbGO",[]
2019-11-04 03:12:10,@samreadingg https://t.co/R0JoqtpVEy,[]
2019-11-03 22:39:36,@megwithbooks @tjreadsthestars Woowww the taste really jumped out!! 😂👍🏻,[]
2019-11-03 22:31:08,@tjreadsthestars Hippocampus! Their amazing!💜✨,[]
2019-11-03 21:34:21,@tjreadsthestars Ahhh thank you!!,[]
2019-11-03 19:34:57,I got my theatre professor into six the musical that’s like god tier obsession right there,[]
2019-11-03 16:15:06,@GobletOfFiction Don’t worry there’s another season coming!! 💜💜 it’s what gives me hope at night,[]
2019-11-03 16:14:33,@chanelletime https://t.co/5XenpTGEUP,[]
2019-11-03 16:12:08,@mcgonagalI *cough they lied cough* whatttt??,[]
2019-11-03 16:11:19,@GobletOfFiction I’m loving all this Derry Girls content from you,[]
2019-11-03 02:10:07,@kerribookbelle PLEASE,[]
2019-11-02 19:57:22,@GobletOfFiction https://t.co/LqnevbTxrn,[]
2019-11-02 19:54:21,@samreadingg Listen .. I’ve never read a more valid tweet!!,[]
2019-11-02 19:50:02,@RachaelMarie_BT https://t.co/ciVS9cfgdp,[]
2019-11-02 18:59:51,@jessethereader Me running away: https://t.co/CAddKrFgLQ,[]
2019-11-02 18:58:15,@roxane_bayer My escape plan https://t.co/EWhwlKDM8h,[]
2019-11-02 18:27:42,@xonikkee They said they find it boring?? WHATTTT?!!? https://t.co/qhlievHcNr,[]
2019-11-02 18:16:08,Send help!! I’m at lunch with someone who doesn’t like Studio Ghibli https://t.co/jvxZIVZ1IF,[]
2019-11-02 17:55:08,@jessethereader Sign me up!! 👋🏻,[]
2019-11-02 17:11:59,@bookswithshae SHAE thank you so much 🥰💜,[]
2019-11-02 17:11:28,@SarcasmAndSciFi Ahhh that would be so fun!! Next year for sure!!,[]
2019-11-02 17:10:21,@lamourdebooks Thank you thank you 💜💜,[]
2019-11-02 00:46:02,@BreeGreen_Books @puckspaperbacks Wooooowww that’s such a compliment thank you so much!!💜,[]
2019-11-02 00:45:46,@areadersworld https://t.co/IbP3WlmFv5,[]
2019-11-02 00:45:33,@littlereadersco Ahhh thank you thank you,[]
2019-11-01 17:31:42,@sunnychapterone Oh my gosh thank you so much!!,[]
2019-11-01 17:31:27,@rhiannonthropp https://t.co/QAoJNhFvha,[]
2019-11-01 16:36:41,"I know it’s a day late, BUT what if Veronica Sawyer was a VSCO girl?!? https://t.co/hFhXEpqrIo",[]
2019-11-01 06:57:18,@bookish_stars @WitchAThon I’m living for this,[]
2019-11-01 06:55:17,@alexandrarosely Maybe you are a Huffleclaw?!? 😂😂,[]
2019-11-01 06:38:32,@blondewithab00k God tier level pun over here,[]
2019-11-01 06:36:04,@astudyingigi YESSSS,[]
2019-11-01 06:35:26,@tjreadsthestars https://t.co/hxMVIjwElX,[]
2019-11-01 06:34:56,@rhiannonthropp My GUY we could have been iconic,[]
2019-10-31 19:03:16,You know your a Ravenclaw when your bummed there’s no research papers on the class syllabus,[]
2019-10-31 15:32:30,@mcgonagalI Ahh I love it,[]
2019-10-31 05:56:45,@margaret_adelle Oh my goshhhh yes!! Live that hipster life!!💜,[]
2019-10-31 05:55:34,@madisynsstory Loving this ASMR,[]
2019-10-31 05:53:59,@readwithcindy CINDY!! This is amazing!! Congratulations!!,[]
2019-10-31 05:52:02,@WildeBookGarden It happens to the best of us,[]
