timestamp,tweet_text
,Death Reveals the Truth is now available to pre-order for Kindle. No DM's please.,
2019-11-12 16:23:48,5 of 5 stars to The Haunting of Hill House by Shirley Jackson https://t.co/vMABeoVkXZ
2019-11-11 15:15:43,5 of 5 stars to The Silent Companions by Laura Purcell https://t.co/y2JZQlM1nR
2019-11-09 15:40:43,5 of 5 stars to The Awakening by L.J. Smith https://t.co/RTFAGMV5Pa
2019-11-08 14:56:31,5 of 5 stars to Oscar Wilde and the Murders at Readin... by Gyles Brandreth https://t.co/qbmtMghor9
2019-11-07 13:13:39,5 of 5 stars to Anne Boleyn by Hayley Nolan https://t.co/3gO8GWunHC
2019-11-04 13:44:23,5 of 5 stars to Mean Spirit by Phil Rickman https://t.co/rQhXOdmRxS
2019-11-01 14:39:33,5 of 5 stars to Thirteen by Shani Struthers https://t.co/YVPsZRfRUW
2019-10-31 14:29:04,5 of 5 stars to The Witching Hour by S.E. England https://t.co/hz41SsTiFI
2019-10-30 13:50:50,5 of 5 stars to Haunted by James Herbert https://t.co/bfVfFYq6Qn
2019-10-29 11:18:41,5 of 5 stars to The Watchers by Neil Spring https://t.co/1eHZdjfo1Z
2019-10-27 11:23:18,5 of 5 stars to The Road to Farringale by Charlotte E. English https://t.co/6Kcm0qGDVS
2019-10-26 11:48:14,5 of 5 stars to The Academy by F.D. Lee https://t.co/qhZr6N5z52
2019-10-24 13:03:02,5 of 5 stars to A Picture of Murder by T E Kinsey https://t.co/N9qwUEIUlo
2019-10-23 11:41:53,5 of 5 stars to The Line by J.D. Horn https://t.co/D2TeYmiLIs
2019-10-22 10:29:22,5 of 5 stars to The Vanishing of Dr Winter by L.B. Hathaway https://t.co/AJu74mOq7a
2019-10-21 10:40:48,5 of 5 stars to The Fifth Knight by E.M. Powell https://t.co/FZEZi2qYqt
2019-10-19 14:18:42,5 of 5 stars to Dark Stars by C.S. Quinn https://t.co/QMmKCcdKtJ
2019-10-18 13:57:00,4 of 5 stars to Dictionary of the Supernatural by Peter Underwood https://t.co/ZBbZUQ1xLM
2019-10-18 12:42:41,5 of 5 stars to The Song of Achilles by Madeline Miller https://t.co/6zY6e7G5NB
2019-10-16 13:59:40,5 of 5 stars to The Smile of a Ghost by Phil Rickman https://t.co/smXliUlITR
2019-10-14 12:22:44,5 of 5 stars to Blakemort by Shani Struthers https://t.co/ZoX1bORpIX
2019-10-13 13:33:14,5 of 5 stars to The Owlmen by S.E. England https://t.co/k0HsU5gAsW
2019-10-12 12:30:26,5 of 5 stars to Magda by S.E. England https://t.co/U6cKjp4bXe
2019-10-11 12:23:25,5 of 5 stars to Tanners Dell by S.E. England https://t.co/BI7NXiilUg
2019-10-10 11:48:20,5 of 5 stars to Father of Lies by S.E. England https://t.co/ZEGVkOvjby
2019-10-08 14:52:08,5 of 5 stars to The Cold Calling by Will Kingdom https://t.co/x0MBLNv1d7
2019-10-06 13:30:17,5 of 5 stars to You Are a Goddess by Sophie Bashford https://t.co/PhI7Owo0cB
2019-10-05 14:35:07,5 of 5 stars to Enchanted Britain by Marc Alexander https://t.co/oQnAui4WN4
2019-10-04 13:32:34,5 of 5 stars to Under Lying by Janelle Harris https://t.co/Vo0mcc7QL2
2019-10-03 12:46:23,5 of 5 stars to The Ghost Hunters by Neil Spring https://t.co/AoJPL9DUca
2019-10-01 12:50:28,5 of 5 stars to Moonology by Yasmin Boland https://t.co/S9MkfdD1pW
2019-09-30 11:10:26,5 of 5 stars to Oscar Wilde and the Vatican Murders by Gyles Brandreth https://t.co/M4ShHG2bP0
2019-09-29 10:14:23,5 of 5 stars to The Riviera Affair by J. New https://t.co/fRJrXIRPdn
2019-09-28 12:48:34,5 of 5 stars to The Fairy's Tale by F.D. Lee https://t.co/63d1lbY2Hk
2019-09-26 13:09:38,5 of 5 stars to Ariadne's Thread by Shekhinah Mountainwater https://t.co/fBfdGSOaIX
2019-09-25 11:59:16,5 of 5 stars to Wicca Covens by Lisa Chamberlain https://t.co/tVcWvrMJBY
2019-09-23 12:18:45,5 of 5 stars to Wicca Made Easy by Phyllis Curott https://t.co/Tb9jTc87yi
2019-09-22 13:37:59,5 of 5 stars to Circe by Madeline Miller https://t.co/t0mKBMfyKw
2019-09-20 13:02:03,5 of 5 stars to Legion by Shani Struthers https://t.co/jFFOGcMjm5
2019-09-19 10:56:04,5 of 5 stars to Witchcraft for Beginners by Lisa Chamberlain https://t.co/GhBfoCrKh5
2019-09-18 12:53:32,5 of 5 stars to The Prayer of the Night Shepherd by Phil Rickman https://t.co/I0E8rUT1wU
2019-09-15 13:19:12,5 of 5 stars to Divided by Witchcraft by Karen Perkins https://t.co/XRNOcIChK3
2019-09-15 12:25:09,5 of 5 stars to Murder by Witchcraft by Karen Perkins https://t.co/mQPkFho726
2019-09-15 11:02:22,5 of 5 stars to Death Around the Bend by T E Kinsey https://t.co/kxH9etOKtf
2019-09-14 10:23:15,5 of 5 stars to Murder at Maypole Manor by L.B. Hathaway https://t.co/ocAMgxoOK5
2019-09-13 10:53:31,5 of 5 stars to Knight of Betrayal by Karen Perkins https://t.co/tSDv67mGrf
2019-09-12 12:56:21,5 of 5 stars to Bright Young Dead by Jessica Fellowes https://t.co/SUxSugtjoZ
2019-09-11 11:12:38,5 of 5 stars to The Man in the Moss by Phil Rickman https://t.co/ck6x4zLXLQ
2019-09-08 13:29:37,5 of 5 stars to The Vine Witch by Luanne G. Smith https://t.co/HRv9GIWU5H
2019-09-07 13:13:06,5 of 5 stars to Fire Catcher by C.S. Quinn https://t.co/VBttoknFCQ
2019-09-05 12:24:43,5 of 5 stars to Quantum by Patricia Cornwell https://t.co/adKaZjuw6G
2019-09-03 12:52:31,5 of 5 stars to Demelza by Winston Graham https://t.co/UebMnPTuXG
2019-08-31 12:10:15,5 of 5 stars to The Princess Diarist by Carrie Fisher https://t.co/zm4Ytaxud1
2019-08-30 12:54:35,5 of 5 stars to Jack the Ripper by Peter Underwood https://t.co/97jHZaBR6s
2019-08-28 14:28:47,5 of 5 stars to Ross Poldark by Winston Graham https://t.co/tL8LKUeZrK
2019-08-25 16:04:08,5 of 5 stars to Oscar Wilde and the Vampire Murders by Gyles Brandreth https://t.co/jw5uhiX5FY
2019-08-24 14:56:30,5 of 5 stars to A Seaside Affair by Fern Britton https://t.co/N0DhIrgFca
2019-08-23 14:17:54,5 of 5 stars to The Monastery Murders by E.M. Powell https://t.co/lTquezoNV7
2019-08-22 14:24:28,5 of 5 stars to The Lamp of the Wicked by Phil Rickman https://t.co/e0PbLssJ6c
2019-08-20 09:56:00,5 of 5 stars to Descension by Shani Struthers https://t.co/TLm1B1uTiC
2019-08-18 14:39:29,5 of 5 stars to A Clerical Error by J. New https://t.co/HJ6sZHBt4Z
2019-08-18 11:03:16,5 of 5 stars to Parliament of Rooks by Karen Perkins https://t.co/ocFVOGC9Uo
2019-08-17 10:36:34,5 of 5 stars to The Final Days of Magic by J.D. Horn https://t.co/dA0XB7LHJF
2019-08-14 15:07:01,5 of 5 stars to The Book of the Unwinding by J.D. Horn https://t.co/znpZbeIB9a
2019-08-13 12:07:36,5 of 5 stars to The King of Bones and Ashes by J.D. Horn https://t.co/UjrMGxlK1X
2019-08-11 13:19:48,5 of 5 stars to No One's Home by D.M. Pulley https://t.co/Tlu61eDDCF
2019-08-09 13:29:25,5 of 5 stars to The Familiars by Stacey Halls https://t.co/NuGUQLmVib
2019-08-08 12:14:13,5 of 5 stars to Dark Matter by Michelle Paver https://t.co/GGSJv525rG
2019-08-07 12:18:58,5 of 5 stars to The Mitford Murders by Jessica Fellowes https://t.co/KcKtujtDsR
2019-08-06 09:43:52,3 of 5 stars to The Ghost Hunters by Peter Underwood https://t.co/ht00VfOZnj
2019-08-04 13:15:47,5 of 5 stars to You Can Fix Your Anxiety by John Crawford https://t.co/Y418DEwz8m
2019-08-02 13:11:45,5 of 5 stars to In The Market For Murder by T E Kinsey https://t.co/cqb2Eho2tM
2019-08-01 12:03:04,5 of 5 stars to Crow's Cottage by John Bowen https://t.co/Fe8KW9JBCw
2019-07-31 12:22:01,5 of 5 stars to JENNET by Karen Perkins https://t.co/un0l2tc8Gj
2019-07-30 14:15:17,5 of 5 stars to Old Cross Cottage by Shani Struthers https://t.co/WFsr8fOC9t
