timestamp,tweet_text
,"Author. Overly fond of cats, books, tea & sparkly flip flops.",
2019-11-13 19:24:27,A little Reacher. A spot of tea. #bookstagram #booksandtea #raedunnmugs https://t.co/W4abNu5FBc
2019-11-13 16:24:39,@maryegilmore Yes! It’s delightful and should be standard on all vehicles
2019-11-12 23:18:57,4 of 5 stars to Twisted Twenty-Six by Janet Evanovich https://t.co/O5xam7vuzw
2019-11-12 19:27:45,It’s cold and rainy today. Time for an afternoon reading and tea break. #bookstagram #booksandtea #raedunnmugs https://t.co/IZU0SKKg6K
2019-11-12 08:14:03,RT @Morris_Chestnut: One day or Day One? It’s your decision.
2019-11-12 08:12:52,RT @TheReadingCafe: STILLHOUSE LAKE series by @rachelcaine  ONLY $1.99 each  Stillhouse Lake: Amz.: https://t.co/hcZVL9dc9J Amz. ca: https:…
2019-11-11 17:25:31,Enjoying the nice day before it’s 🥶 cold the rest of the week. My hand is better so it’s good to get back to writin… https://t.co/tqyn6VwWBG
2019-11-11 15:07:31,#VeteransDay #HonorThroughAction https://t.co/kFzxq24gQX
2019-11-11 02:51:25,5 of 5 stars to Purity in Death by J.D. Robb https://t.co/AxY1iU5VDr
2019-11-10 01:34:41,@mummey_j You are awesome from your head to your toes!
2019-11-10 00:57:59,RT @RonHayn44510043: Here we go! It’s time for #pictureaperfectchristmas  on Hallmark. Can Sophie’s @merrittpattrsn fast paced Sports Photo…
2019-11-10 00:52:20,"RT @FXNetworks: your wrongs will come back to haunt you. fx’s ""a christmas carol” premieres this december. https://t.co/TJzRKdNdqi"
2019-11-09 18:49:15,RT @joelkinnaman: Hey friends. @SonyPictures has pledged to plan a tree for each of your views of this video. Please re-share and repost. T…
2019-11-09 18:32:42,@RashLaura @LtlFreeLibrary I love that you’re stocking the little library!
2019-11-09 18:31:56,@FedExHelp Sent. Thanks April
2019-11-09 18:26:14,@FedExHelp Thank you April! Sending it over
2019-11-09 18:23:33,Many years ago when I read The Hot Zone it scared me so badly I wouldn’t fly for months. So of course now I’m readi… https://t.co/na7WDkWKgF
